fold,accuracy,macro_f1,balanced_accuracy
1,0.7253957329662767,0.7087376950403463,0.7117998962371357
2,0.7281486579490709,0.7163365448487607,0.7193175149117089
3,0.7198898830006882,0.7151240701371444,0.7289309587223487
4,0.7157604955264969,0.7041834602901856,0.710993971968081
5,0.7320936639118457,0.7153287211370268,0.7255538770043626
